judet,data,categorie_pers,total_doze,astra,pfizer,moderna
Bihor,2021-03-18,1,136,6,129,1
Bihor,2021-03-18,2,1485,149,1148,188
Bihor,2021-03-18,3,68,30,37,1
Bihor,2021-03-18,toate,1689,185,1314,190
Bihor,toate,1,1535,167,1310,58
Bihor,toate,2,25673,3069,19218,3386
Bihor,toate,3,141,61,64,16
Bihor,toate,toate,27349,3297,20592,3460
Bistrita-Nasaud,2021-03-01,1,6,2,4,0
Bistrita-Nasaud,2021-03-01,2,471,109,362,0
Bistrita-Nasaud,2021-03-01,3,0,0,0,0
Bistrita-Nasaud,2021-03-01,toate,477,111,366,0
Bistrita-Nasaud,2021-03-02,1,10,2,8,0
Bistrita-Nasaud,2021-03-02,2,466,110,356,0
Bistrita-Nasaud,2021-03-02,3,2,0,2,0
Bistrita-Nasaud,2021-03-02,toate,478,112,366,0
Bistrita-Nasaud,2021-03-03,1,22,10,12,0
Bistrita-Nasaud,2021-03-03,2,432,91,341,0
Bistrita-Nasaud,2021-03-03,3,0,0,0,0
Bistrita-Nasaud,2021-03-03,toate,454,101,353,0
Bistrita-Nasaud,2021-03-04,1,8,1,6,1
Bistrita-Nasaud,2021-03-04,2,493,96,288,109
Bistrita-Nasaud,2021-03-04,3,1,0,1,0
Bistrita-Nasaud,2021-03-04,toate,502,97,295,110
Bistrita-Nasaud,2021-03-05,1,14,5,8,1
Bistrita-Nasaud,2021-03-05,2,506,101,296,109
Bistrita-Nasaud,2021-03-05,3,2,0,2,0
Bistrita-Nasaud,2021-03-05,toate,522,106,306,110
Bistrita-Nasaud,2021-03-06,1,14,1,11,2
Bistrita-Nasaud,2021-03-06,2,552,93,361,98
Bistrita-Nasaud,2021-03-06,3,0,0,0,0
Bistrita-Nasaud,2021-03-06,toate,566,94,372,100
Bistrita-Nasaud,2021-03-07,1,8,3,5,0
Bistrita-Nasaud,2021-03-07,2,541,76,365,100
Bistrita-Nasaud,2021-03-07,3,0,0,0,0
Bistrita-Nasaud,2021-03-07,toate,549,79,370,100
Bistrita-Nasaud,2021-03-08,1,10,4,6,0
Bistrita-Nasaud,2021-03-08,2,525,103,402,20
Bistrita-Nasaud,2021-03-08,3,0,0,0,0
Bistrita-Nasaud,2021-03-08,toate,535,107,408,20
Bistrita-Nasaud,2021-03-09,1,15,7,8,0
Bistrita-Nasaud,2021-03-09,2,449,94,346,9
Bistrita-Nasaud,2021-03-09,3,1,0,0,1
Bistrita-Nasaud,2021-03-09,toate,465,101,354,10
Bistrita-Nasaud,2021-03-10,1,26,2,24,0
Bistrita-Nasaud,2021-03-10,2,440,86,324,30
Bistrita-Nasaud,2021-03-10,3,0,0,0,0
Bistrita-Nasaud,2021-03-10,toate,466,88,348,30
Bistrita-Nasaud,2021-03-11,1,22,0,22,0
Bistrita-Nasaud,2021-03-11,2,603,71,512,20
Bistrita-Nasaud,2021-03-11,3,0,0,0,0
Bistrita-Nasaud,2021-03-11,toate,625,71,534,20
Bistrita-Nasaud,2021-03-12,1,18,2,16,0
Bistrita-Nasaud,2021-03-12,2,457,69,368,20
Bistrita-Nasaud,2021-03-12,3,0,0,0,0
Bistrita-Nasaud,2021-03-12,toate,475,71,384,20
Bistrita-Nasaud,2021-03-13,1,15,0,14,1
Bistrita-Nasaud,2021-03-13,2,474,69,376,29
Bistrita-Nasaud,2021-03-13,3,0,0,0,0
Bistrita-Nasaud,2021-03-13,toate,489,69,390,30
Bistrita-Nasaud,2021-03-14,1,14,2,12,0
Bistrita-Nasaud,2021-03-14,2,409,71,328,10
Bistrita-Nasaud,2021-03-14,3,2,0,2,0
Bistrita-Nasaud,2021-03-14,toate,425,73,342,10
Bistrita-Nasaud,2021-03-15,1,36,1,32,3
Bistrita-Nasaud,2021-03-15,2,637,81,368,188
Bistrita-Nasaud,2021-03-15,3,17,0,8,9
Bistrita-Nasaud,2021-03-15,toate,690,82,408,200
Bistrita-Nasaud,2021-03-16,1,44,2,36,6
Bistrita-Nasaud,2021-03-16,2,719,54,417,248
Bistrita-Nasaud,2021-03-16,3,9,0,3,6
Bistrita-Nasaud,2021-03-16,toate,772,56,456,260
Bistrita-Nasaud,2021-03-17,1,38,2,28,8
Bistrita-Nasaud,2021-03-17,2,636,59,383,194
Bistrita-Nasaud,2021-03-17,3,27,0,9,18
Bistrita-Nasaud,2021-03-17,toate,701,61,420,220
Bistrita-Nasaud,2021-03-18,1,14,1,11,2
Bistrita-Nasaud,2021-03-18,2,613,62,336,215
Bistrita-Nasaud,2021-03-18,3,4,0,1,3
Bistrita-Nasaud,2021-03-18,toate,631,63,348,220
Bistrita-Nasaud,toate,1,334,47,263,24
Bistrita-Nasaud,toate,2,9423,1495,6529,1399
Bistrita-Nasaud,toate,3,65,0,28,37
Bistrita-Nasaud,toate,toate,9822,1542,6820,1460
Botosani,2021-03-01,1,6,2,4,0
Botosani,2021-03-01,2,337,107,230,0
Botosani,2021-03-01,3,0,0,0,0
Botosani,2021-03-01,toate,343,109,234,0
Botosani,2021-03-02,1,22,4,18,0
Botosani,2021-03-02,2,443,88,355,0
Botosani,2021-03-02,3,3,0,3,0
Botosani,2021-03-02,toate,468,92,376,0
Botosani,2021-03-03,1,5,1,4,0
Botosani,2021-03-03,2,393,67,326,0
Botosani,2021-03-03,3,0,0,0,0
Botosani,2021-03-03,toate,398,68,330,0
Botosani,2021-03-04,1,17,5,11,1
Botosani,2021-03-04,2,436,55,322,59
Botosani,2021-03-04,3,2,0,2,0
Botosani,2021-03-04,toate,455,60,335,60
Botosani,2021-03-05,1,17,6,11,0
Botosani,2021-03-05,2,541,83,354,104
Botosani,2021-03-05,3,3,0,1,2
Botosani,2021-03-05,toate,561,89,366,106
Botosani,2021-03-06,1,15,5,8,2
Botosani,2021-03-06,2,507,57,322,128
Botosani,2021-03-06,3,1,0,0,1
Botosani,2021-03-06,toate,523,62,330,131
Botosani,2021-03-07,1,9,2,7,0
Botosani,2021-03-07,2,522,61,341,120
Botosani,2021-03-07,3,0,0,0,0
Botosani,2021-03-07,toate,531,63,348,120
Botosani,2021-03-08,1,18,4,14,0
Botosani,2021-03-08,2,544,64,400,80
Botosani,2021-03-08,3,0,0,0,0
Botosani,2021-03-08,toate,562,68,414,80
Botosani,2021-03-09,1,97,22,74,1
Botosani,2021-03-09,2,719,36,585,98
Botosani,2021-03-09,3,1,0,1,0
Botosani,2021-03-09,toate,817,58,660,99
Botosani,2021-03-10,1,14,3,11,0
Botosani,2021-03-10,2,571,72,450,49
Botosani,2021-03-10,3,1,0,1,0
Botosani,2021-03-10,toate,586,75,462,49
Botosani,2021-03-11,1,24,6,18,0
Botosani,2021-03-11,2,639,52,557,30
Botosani,2021-03-11,3,1,0,1,0
Botosani,2021-03-11,toate,664,58,576,30
Botosani,2021-03-12,1,18,4,14,0
Botosani,2021-03-12,2,599,15,525,59
Botosani,2021-03-12,3,2,0,1,1
Botosani,2021-03-12,toate,619,19,540,60
Botosani,2021-03-13,1,15,0,15,0
Botosani,2021-03-13,2,539,23,447,69
Botosani,2021-03-13,3,1,0,0,1
Botosani,2021-03-13,toate,555,23,462,70
Botosani,2021-03-14,1,12,0,12,0
Botosani,2021-03-14,2,479,37,402,40
Botosani,2021-03-14,3,0,0,0,0
Botosani,2021-03-14,toate,491,37,414,40
Botosani,2021-03-15,1,12,1,9,2
Botosani,2021-03-15,2,643,34,470,139
Botosani,2021-03-15,3,1,0,1,0
Botosani,2021-03-15,toate,656,35,480,141
Botosani,2021-03-16,1,10,0,6,4
Botosani,2021-03-16,2,691,15,457,219
Botosani,2021-03-16,3,11,0,5,6
Botosani,2021-03-16,toate,712,15,468,229
Botosani,2021-03-17,1,10,1,8,1
Botosani,2021-03-17,2,580,18,429,133
Botosani,2021-03-17,3,12,1,7,4
Botosani,2021-03-17,toate,602,20,444,138
Botosani,2021-03-18,1,24,0,24,0
Botosani,2021-03-18,2,495,12,386,97
Botosani,2021-03-18,3,120,2,17,101
Botosani,2021-03-18,toate,639,14,427,198
Botosani,toate,1,345,66,268,11
Botosani,toate,2,9678,896,7358,1424
